filiere_id,filiere_libelle,cod_aff_form,effectif_total_demandé,effectif_total_candidats,effectif_total_candidates,effectif_total_accepte,effectif_total_admis,effectif_total_admises,general,techno,pro,autre,capacite
344,BUT - Génie civil - Construction durable (Seconde année possible en apprentissage),6297,1612,1288,324,102,83,19,47,36,0,19,104
984,BUT - Génie électrique et informatique industrielle,6298,573,520,53,39,35,4,23,8,0,8,76
858,BUT - Génie mécanique et productique,6299,947,859,88,68,64,4,29,18,0,21,74
3131,"BUT - Qualité, logistique industrielle et organisation",6300,253,194,59,24,19,5,8,4,4,8,40
3380,BUT - Réseaux et télécommunications,6302,853,775,78,42,41,1,24,9,0,9,60
1722,BUT - Information communication Parcours communication des organisations,30775,2019,449,1570,83,9,74,51,7,1,24,82
382,BUT - Information communication Parcours journalisme,2325,2113,933,1180,25,8,17,18,2,0,5,26
2053,BUT - Techniques de commercialisation (Seconde année possible en apprentissage),2324,2310,1075,1235,110,44,66,44,48,0,18,112
3047,BUT - Carrières sociales Parcours animation sociale et socioculturelle (Seconde année en apprentissage),2328,337,72,265,24,3,21,2,8,1,13,28
2494,BUT - Carrières sociales Parcours éducation spécialisée (Seconde année en apprentissage),14781,740,81,659,28,2,26,5,11,1,11,28
3131,"BUT - Qualité, logistique industrielle et organisation",2321,457,329,128,70,49,21,33,20,0,17,70
472,BUT - Réseaux et télécommunications (Seconde année possible en apprentissage),2322,748,664,84,60,56,4,31,19,1,9,60
1300,BUT - Statistique et informatique décisionnelle,2327,467,373,94,16,13,3,8,1,0,7,25
344,BUT - Génie civil - Construction durable (Seconde année possible en apprentissage),3984,2381,1933,448,125,102,23,60,58,0,7,120
984,BUT - Génie électrique et informatique industrielle,3985,1008,920,88,49,44,5,23,10,0,16,80
858,BUT - Génie mécanique et productique,3986,1940,1745,195,112,101,11,61,37,0,14,113
3304,BUT - Gestion des entreprises et des administrations,3989,2404,1202,1202,79,32,47,34,32,0,13,80
882,BUT - Science et génie des matériaux (Seconde année possible en apprentissage),3987,594,498,96,49,43,6,30,8,0,11,70
209,BUT - Carrières sociales Parcours animation sociale et socioculturelle,9519,705,161,544,54,14,40,13,18,3,20,56
745,BUT - Carrières sociales Parcours assistance sociale,9520,1197,89,1108,53,4,49,14,17,0,22,56
3304,BUT - Gestion des entreprises et des administrations,9517,5704,2849,2855,173,73,100,67,82,0,24,168
1722,BUT - Information communication Parcours communication des organisations,9522,1378,279,1099,56,13,43,26,25,0,5,56
1549,BUT - Information communication Parcours métiers du livre et du patrimoine,9523,256,49,207,27,7,20,20,3,0,4,28
1752,BUT - Information communication Parcours publicité,9521,804,172,632,27,9,18,11,14,0,2,28
2326,BUT - Informatique,9515,4271,3750,521,167,136,31,70,74,0,23,168
1300,BUT - Statistique et informatique décisionnelle,9516,1484,1181,303,92,58,34,49,21,0,22,92
1218,BUT - Techniques de commercialisation,9518,5058,2259,2799,166,60,106,74,81,0,11,168
2153,BUT - Génie biologique Parcours agronomie,7892,849,374,475,33,19,14,23,5,0,5,39
1419,BUT - Génie biologique parcours sciences de l'environnement et écotechnologies,7891,945,474,471,31,17,14,19,8,0,4,39
3316,BUT - Génie industriel et maintenance,7890,604,549,55,32,32,0,15,4,4,9,56
3304,BUT - Gestion des entreprises et des administrations,7893,2122,1070,1052,91,42,49,40,34,1,16,106
116,BUT - Management de la Logistique et des Transports,7894,649,458,191,53,32,21,17,19,0,17,56
417,BUT - Statistique et informatique décisionnelle (Seconde année possible en apprentissage),2469,557,431,126,33,27,6,11,3,0,19,42
1218,BUT - Techniques de commercialisation,2470,2009,1040,969,54,24,30,21,27,1,5,60
857,BUT - Carrières juridiques,2472,2618,481,2137,93,19,74,33,37,0,23,84
3382,BUT - Génie chimique génie des procédés,2471,702,328,374,29,19,10,14,5,1,9,32
679,BUT - Génie biologique parcours biologie médicale et biotechnologie,3880,1610,501,1109,64,27,37,29,24,0,11,66
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,3879,612,258,354,47,26,21,27,4,0,16,66
3304,BUT - Gestion des entreprises et des administrations,3881,1892,972,920,132,75,57,73,48,1,10,140
116,BUT - Management de la Logistique et des Transports,3882,534,393,141,62,43,19,36,22,1,3,90
1218,BUT - Techniques de commercialisation,3883,2511,1242,1269,168,62,106,78,79,0,11,170
209,BUT - Carrières sociales Parcours animation sociale et socioculturelle,4665,1589,308,1281,88,13,75,28,29,2,29,84
2296,BUT - Chimie,4660,1560,668,892,102,45,57,56,23,0,23,104
3389,BUT - Génie civil - Construction durable,4661,2765,2212,553,155,116,39,66,74,0,15,155
984,BUT - Génie électrique et informatique industrielle,4662,1468,1351,117,101,94,7,51,35,0,15,134
858,BUT - Génie mécanique et productique,4663,2097,1917,180,103,96,7,49,44,0,10,104
3304,BUT - Gestion des entreprises et des administrations,4664,5059,2626,2433,192,71,121,92,84,1,15,196
3316,BUT - Génie industriel et maintenance,5372,460,431,29,26,23,3,13,7,0,6,45
3304,BUT - Gestion des entreprises et des administrations,5375,1171,639,532,81,50,31,33,28,0,20,105
3530,"BUT - Qualité, logistique industrielle et organisation (Seconde année possible en apprentissage)",5373,327,256,71,37,27,10,14,7,4,12,45
3380,BUT - Réseaux et télécommunications,5374,602,562,40,37,35,2,16,7,2,12,45
1218,BUT - Techniques de commercialisation,5376,1623,870,753,108,52,56,43,50,3,12,110
857,BUT - Carrières juridiques,14842,1788,372,1416,53,15,38,15,23,0,15,56
3304,BUT - Gestion des entreprises et des administrations,2497,1260,671,589,77,40,37,36,32,0,9,80
1722,BUT - Information communication Parcours communication des organisations,2498,1183,284,899,24,3,21,10,8,0,6,28
2326,BUT - Informatique,2495,1105,1001,104,49,46,3,32,11,0,6,50
3131,"BUT - Qualité, logistique industrielle et organisation",2496,162,119,43,19,16,3,8,9,0,2,26
2296,BUT - Chimie,9621,1135,494,641,83,38,45,45,16,0,22,104
3382,BUT - Génie chimique génie des procédés,9622,782,412,370,52,36,16,21,15,0,16,56
984,BUT - Génie électrique et informatique industrielle,9623,820,747,73,63,60,3,23,27,0,13,78
2718,BUT - Mesures physiques,9625,977,751,226,75,63,12,54,2,0,19,91
624,BUT - Métiers de la Transition et de l'Efficacité Énergétiques,9624,553,497,56,63,60,3,24,26,1,12,78
2653,BUT - Métiers du multimédia et de l'internet,9627,1749,1246,503,74,51,23,28,29,1,16,75
3380,BUT - Réseaux et télécommunications,9626,748,663,85,53,50,3,19,18,0,16,56
857,BUT - Carrières juridiques,9629,3337,744,2593,154,29,125,65,69,0,20,140
1218,BUT - Techniques de commercialisation,9628,3271,1598,1673,145,62,83,56,67,4,18,140
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,3384,568,228,340,46,14,32,35,2,0,9,52
3143,BUT - Science et génie des matériaux,3383,595,512,83,32,27,5,22,10,0,0,52
1218,BUT - Techniques de commercialisation,3385,1614,874,740,82,25,57,37,41,0,4,84
3143,BUT - Science et génie des matériaux,11360,650,531,119,27,16,11,12,3,0,12,40
3316,BUT - Génie industriel et maintenance,11221,986,885,101,49,47,2,19,20,0,10,52
858,BUT - Génie mécanique et productique,11222,1763,1607,156,89,86,3,25,32,0,32,96
3304,BUT - Gestion des entreprises et des administrations,11228,5424,2504,2920,173,78,95,48,87,0,38,170
2948,BUT - Hygiène Sécurité Environnement,11223,573,406,167,49,37,12,13,19,1,16,48
2718,BUT - Mesures physiques,11224,1009,750,259,36,26,10,11,2,0,23,48
1218,BUT - Techniques de commercialisation,11229,7521,3396,4125,183,56,127,70,85,9,19,186
984,BUT - Génie électrique et informatique industrielle,10756,219,195,24,13,9,4,5,2,3,3,42
2326,BUT - Informatique,10757,1023,910,113,45,42,3,23,4,1,17,52
2653,BUT - Métiers du multimédia et de l'internet,10758,717,530,187,56,42,14,22,11,4,19,52
1419,BUT - Génie biologique parcours sciences de l'environnement et écotechnologies,5309,1376,658,718,75,52,23,47,14,0,14,73
984,BUT - Génie électrique et informatique industrielle,5306,1063,966,97,59,52,7,30,23,0,6,68
858,BUT - Génie mécanique et productique,5307,1800,1637,163,92,87,5,39,41,0,12,92
332,BUT - Gestion administrative et commerciale des organisations,5312,2600,1159,1441,111,39,72,54,44,0,13,99
3304,BUT - Gestion des entreprises et des administrations,5310,2777,1413,1364,153,78,75,65,75,0,13,161
2718,BUT - Mesures physiques,5308,1437,1116,321,88,77,11,56,7,0,25,116
1218,BUT - Techniques de commercialisation,5311,3160,1631,1529,154,68,86,71,68,0,15,161
857,BUT - Carrières juridiques,4784,2506,500,2006,72,11,61,33,34,1,4,72
3316,BUT - Génie industriel et maintenance,4780,443,407,36,26,24,2,14,8,1,3,46
3304,BUT - Gestion des entreprises et des administrations,4783,2299,1208,1091,118,75,43,59,44,0,15,117
3380,BUT - Réseaux et télécommunications,4781,691,628,63,77,70,7,37,36,2,2,78
3304,BUT - Gestion des entreprises et des administrations,11112,7363,3682,3681,288,133,155,134,137,0,17,295
1218,BUT - Techniques de commercialisation,11113,8977,3991,4986,344,90,254,138,169,0,37,351
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,8003,720,253,467,57,17,40,34,8,0,15,60
1419,BUT - Génie biologique parcours sciences de l'environnement et écotechnologies,8002,562,278,284,30,11,19,18,8,0,4,28
3316,BUT - Génie industriel et maintenance,8000,475,434,41,30,28,2,17,9,0,4,30
3304,BUT - Gestion des entreprises et des administrations,8005,1986,1016,970,105,46,59,57,44,0,4,107
1156,BUT - Mesures physiques (Seconde année possible en apprentissage),8001,469,372,97,57,43,14,41,2,0,14,58
3304,BUT - Gestion des entreprises et des administrations,36307,656,344,312,54,35,19,41,10,0,3,58
3304,BUT - Gestion des entreprises et des administrations,9890,1006,512,494,107,53,54,46,48,0,13,108
2326,BUT - Informatique,9889,1206,1083,123,86,79,7,42,36,0,8,84
1218,BUT - Techniques de commercialisation,9891,1301,602,699,27,9,18,11,13,0,3,26
209,BUT - Carrières sociales Parcours animation sociale et socioculturelle,9897,443,100,343,50,9,41,14,12,1,23,50
1817,BUT - Carrières sociales parcours villes et territoires durables,25436,228,79,149,25,10,15,10,8,0,7,24
494,BUT - Génie biologique Parcours diététique et nutrition,25433,786,195,591,27,7,20,9,13,0,5,26
1419,BUT - Génie biologique parcours sciences de l'environnement et écotechnologies,25434,845,401,444,52,29,23,26,19,0,7,53
3389,BUT - Génie civil - Construction durable,25432,1576,1269,307,56,42,14,23,26,0,7,56
984,BUT - Génie électrique et informatique industrielle,9893,855,795,60,80,75,5,42,28,0,10,84
3316,BUT - Génie industriel et maintenance,9894,536,493,43,47,45,2,20,16,0,11,51
3304,BUT - Gestion des entreprises et des administrations,9895,2503,1162,1341,109,40,69,46,52,0,11,110
2326,BUT - Informatique,16692,1254,1106,148,23,20,3,11,10,0,2,20
2653,BUT - Métiers du multimédia et de l'internet,25435,2284,1501,783,106,58,48,34,38,6,28,109
1218,BUT - Techniques de commercialisation,9896,2048,938,1110,107,33,74,52,52,0,3,105
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,5219,643,234,409,47,21,26,27,15,0,5,52
3380,BUT - Réseaux et télécommunications,5218,465,435,30,36,34,2,21,10,3,2,52
3143,BUT - Science et génie des matériaux,5217,415,344,71,44,41,3,29,13,0,2,52
624,BUT - Métiers de la Transition et de l'Efficacité Énergétiques,7791,448,399,49,57,51,6,26,26,1,4,72
1300,BUT - Statistique et informatique décisionnelle,7792,454,358,96,46,41,5,30,3,0,13,54
